prompt,fold,routed_model,actual_quality,actual_cost
Write a function to find the tuple intersection of elements in the given tuple list irrespective of their order.,0,meta/code-llama-instruct-34b-chat,0.0,0.0001562334494117647
Write a python function to find the sum of the largest and smallest value in a given array.,0,claude-v1,1.0,0.0042774399999999995
Write a python function which takes a list of integers and only returns the odd ones.,0,meta/llama-2-70b-chat,1.0,0.0002972742352941176
Write a function to extract values between quotation marks from a string.,0,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a python function to split a string into characters.,0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a python function to find the surface area of a square pyramid with a given base edge and height.,0,gpt-4-1106-preview,0.0,0.00937664705882353
Write a function to find perfect squares between two given numbers.,0,mistralai/mixtral-8x7b-chat,0.0,0.00017431835294117644
Write a function to check whether the given number is armstrong or not.,0,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to convert degrees to radians.,0,claude-v2,1.0,0.005838738823529412
Write a python function to find nth bell number.,0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to move all the numbers to the end of the given string.,0,gpt-4-1106-preview,1.0,0.00937664705882353
Write a python function to find the area of the largest triangle that can be inscribed in a semicircle with a given radius.,0,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a python function to move all zeroes to the end of the given list.,0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a python function to check whether the length of the word is odd or not.,0,mistralai/mixtral-8x7b-chat,0.0,0.00017431835294117644
Write a python function to reverse an array upto a given position.,0,claude-v2,0.0,0.005838738823529412
"Given a square matrix of size N*N given as a list of lists, where each cell is associated with a specific cost. A path is defined as a specific sequence of cells that starts from the top-left cell move only right or down and ends on bottom right cell. We want to find a path with the maximum average over all existing paths. Average is computed as total cost divided by the number of cells visited in the path.",0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
"The input is given as - a dictionary with a student name as a key and a tuple of float (student_height, student_weight) as a value, - minimal height, - minimal weight. Write a function to filter students that have height and weight above the minimum.",0,claude-v2,1.0,0.005838738823529412
"Write a function that takes as input a tuple of numbers (t_1,...,t_{N+1}) and returns a tuple of length N where the i-th element of the tuple is equal to t_i * t_{i+1}.",0,claude-instant-v1,1.0,0.0004815265882352941
"Write a function takes as input two lists [a_1,...,a_n], [b_1,...,b_n] and returns [a_1+b_1,...,a_n+b_n].",0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a python function to check whether all the characters are same or not.,0,mistralai/mixtral-8x7b-chat,0.0,0.00017431835294117644
Write a function to find area of a sector. The function takes the radius and angle as inputs. Function should return None if the angle is larger than 360 degrees.,0,gpt-4-1106-preview,0.0,0.00937664705882353
Write a function to check whether a given string is a decimal number with a precision of 2.,0,claude-v1,0.0,0.0042774399999999995
Write a python function to find the minimum difference between any two elements in a given array. https://www.geeksforgeeks.org/find-minimum-difference-pair/,0,claude-v2,1.0,0.005838738823529412
Write a function to count those characters which have vowels as their neighbors in the given string.,0,mistralai/mixtral-8x7b-chat,0.0,0.00017431835294117644
Write a python function to check whether the count of divisors is even. https://www.w3resource.com/python-exercises/basic/python-basic-1-exercise-24.php,0,mistralai/mixtral-8x7b-chat,1.0,0.00017431835294117644
Write a function to locate the right insertion point for a specified value in sorted order.,0,gpt-4-1106-preview,1.0,0.00937664705882353
Write a python function to count the number of lists in a given number of lists.,0,meta/code-llama-instruct-34b-chat,1.0,0.0001562334494117647
Write function to find the sum of all items in the given dictionary.,0,gpt-4-1106-preview,1.0,0.00937664705882353
"Write a function to get the frequency of all the elements in a list, returned as a dictionary.",0,mistralai/mistral-7b-chat,1.0,4.8506352941176474e-05
Write a function to find maximum run of uppercase characters in the given string.,0,mistralai/mixtral-8x7b-chat,0.0,0.00017431835294117644
Write a function to check if a string is present as a substring in a given list of string values.,0,claude-instant-v1,1.0,0.0004815265882352941
Write a python function to find the length of the smallest list in a list of lists.,0,meta/code-llama-instruct-34b-chat,1.0,0.0001562334494117647
"Write a function to find frequency of each element in a flattened list of lists, returned in a dictionary.",0,claude-instant-v1,1.0,0.0004815265882352941
Write a function to multiply all the numbers in a list and divide with the length of the list.,0,claude-v1,1.0,0.0042774399999999995
Write a function to merge three lists into a single sorted list.,0,claude-instant-v1,0.0,0.0004815265882352941
Write a function to find the nth hexagonal number.,0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to count number items that are identical in the same position of three given lists.,0,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to find number of lists present in the given tuple.,0,claude-instant-v1,0.0,0.0004815265882352941
Write a python function to find the volume of a triangular prism.,0,mistralai/mixtral-8x7b-chat,0.0,0.00017431835294117644
"Write a function that returns integers x and y that satisfy ax + by = n as a tuple, or return None if no solution exists.",0,claude-instant-v1,0.0,0.0004815265882352941
Write a function to remove all elements from a given list present in another list.,0,claude-v2,1.0,0.005838738823529412
Write a function to determine if the sum of the divisors of two integers are the same.,0,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to count the number of characters in a string that occur at the same position in the string as in the English alphabet (case insensitive).,0,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to find the sum of numbers in a list within a range specified by two indices.,1,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to count the number of occurence of the string 'std' in a given string.,1,claude-instant-v1,0.0,0.0004815265882352941
"Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)",1,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to find the lateral surface area of a cylinder.,1,WizardLM/WizardLM-13B-V1.2,0.0,8.095270588235294e-05
Write a function to find the volume of a cube given its side length.,1,claude-v2,1.0,0.005838738823529412
Write a python function to set all even bits of a given number.,1,claude-v2,0.0,0.005838738823529412
"Write a function that takes an array and finds the maximum sum of a bitonic subsequence for the given array, where a sequence is bitonic if it is first increasing and then decreasing.",1,claude-v2,1.0,0.005838738823529412
Write a function that takes in an integer n and calculates the harmonic sum of n-1.,1,gpt-4-1106-preview,1.0,0.00937664705882353
Write a python function that takes in a tuple and an element and counts the occcurences of the element in the tuple.,1,claude-instant-v1,1.0,0.0004815265882352941
"Write a function that takes in a list and length n, and generates all combinations (with repetition) of the elements of the list and returns a list with a tuple for each combination.",1,claude-v2,1.0,0.005838738823529412
Write a function to find the lateral surface area of a cube given its side length.,1,WizardLM/WizardLM-13B-V1.2,1.0,8.095270588235294e-05
Write a function to find the nth decagonal number.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,1,zero-one-ai/Yi-34B-Chat,0.0,0.00022846870588235293
Write a python function takes in an integer and check whether the frequency of each digit in the integer is less than or equal to the digit itself.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to find the largest sum of a contiguous array in the modified array which is formed by repeating the given array k times.,1,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to return the sum of all divisors of a number.,1,claude-instant-v1,0.0,0.0004815265882352941
"Write a function to find the maximum sum of increasing subsequence from prefix until ith index and also including a given kth element which is after i, i.e., k > i .",1,gpt-4-1106-preview,0.0,0.00937664705882353
Write a function to get a colon of a tuple.,1,claude-instant-v1,0.0,0.0004815265882352941
Write a python function to count the number of substrings with the sum of digits equal to their length.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a python function to find whether the parity of a given number is odd.,1,claude-v1,0.0,0.0042774399999999995
Write a function to create the next bigger number by rearranging the digits of a given number.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to find k number of smallest pairs which consist of one element from the first array and one element from the second array.,1,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to find the minimum product from the pairs of tuples within a given list.,1,gpt-4-1106-preview,0.0,0.00937664705882353
Write a function to find the minimum value in a given heterogeneous list.,1,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a python function to check whether any value in a sequence exists in a sequence or not.,1,gpt-4-1106-preview,1.0,0.00937664705882353
Write a python function to find a pair with highest product from a given array of integers.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to sort the given array by using shell sort.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to extract the elementwise and tuples from the given two tuples.,1,claude-v2,0.0,0.005838738823529412
Write a function to check whether the entered number is greater than the elements of the given array.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a python function to find the last digit of a given number.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to find cubes of individual elements in a list.,1,zero-one-ai/Yi-34B-Chat,1.0,0.00022846870588235293
Write a function to remove all whitespaces from the given string.,1,claude-v2,0.0,0.005838738823529412
Write a function to find the number of ways to partition a set of Bell numbers.,1,claude-v2,0.0,0.005838738823529412
Write a function to find the maximum product formed by multiplying numbers of an increasing subsequence of that array.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to replace characters in a string.,1,mistralai/mixtral-8x7b-chat,1.0,0.00017431835294117644
Write a python function to convert the given string to lower case.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a python function which takes a list of integers and counts the number of possible unordered pairs where both elements are unequal.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to create a list of N empty dictionaries.,1,claude-v2,1.0,0.005838738823529412
Write a function to find the surface area of a cylinder.,1,mistralai/mixtral-8x7b-chat,1.0,0.00017431835294117644
Write a python function to check whether a list is sublist of another or not.,1,meta/llama-2-70b-chat,1.0,0.0002972742352941176
Write a function to remove uneven elements in the nested mixed tuple.,1,claude-instant-v1,1.0,0.0004815265882352941
Write a function to check if a dictionary is empty,1,meta/code-llama-instruct-34b-chat,1.0,0.0001562334494117647
Write a function which returns nth catalan number.,1,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to remove leading zeroes from an ip address.,1,claude-v2,0.0,0.005838738823529412
Write a python function to check whether the two numbers differ at one bit position only or not.,1,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to find the size in bytes of the given tuple.,1,claude-v2,1.0,0.005838738823529412
Write a function to reverse words seperated by spaces in a given string.,1,claude-v2,1.0,0.005838738823529412
Write a function which takes a tuple of tuples and returns the average value for each tuple as a list.,1,zero-one-ai/Yi-34B-Chat,0.0,0.00022846870588235293
Write a function to divide two lists element wise.,1,meta/code-llama-instruct-34b-chat,1.0,0.0001562334494117647
Write a function to find the size of the largest subset of a list of numbers so that every pair is divisible.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to find the lateral surface area of a cone given radius r and the height h.,1,WizardLM/WizardLM-13B-V1.2,1.0,8.095270588235294e-05
Write a function to calculate the geometric sum of n-1. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-recursion-exercise-9.php,1,claude-v2,0.0,0.005838738823529412
Write a function to rotate a given list by specified number of items to the right direction. https://www.geeksforgeeks.org/python-program-right-rotate-list-n/,1,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to check if the given tuple has any none value or not.,1,meta/llama-2-70b-chat,1.0,0.0002972742352941176
Write a function to find numbers within a given range from startnum ti endnum where every number is divisible by every digit it contains. https://www.w3resource.com/python-exercises/lambda/python-lambda-exercise-24.php,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to add the given tuple to the given list.,1,meta/llama-2-70b-chat,0.0,0.0002972742352941176
Write a function to check if the given array represents min heap or not. https://www.geeksforgeeks.org/how-to-check-if-a-given-array-represents-a-binary-heap/,1,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to count the pairs of reverse strings in the given string list. https://www.geeksforgeeks.org/python-program-to-count-the-pairs-of-reverse-strings/,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to find the nth number in the newman conway sequence.,1,gpt-4-1106-preview,1.0,0.00937664705882353
"Write a python function to count the number of pairs whose sum is equal to ‘sum’. The funtion gets as input a list of numbers and the sum,",1,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to check if the given expression is balanced or not. https://www.geeksforgeeks.org/check-for-balanced-parentheses-in-an-expression/,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to find the occurrence and position of the substrings within a string. Return None if there is no match.,1,claude-v2,0.0,0.005838738823529412
"Write a function to count the number of lists within a list. The function should return a dictionary, where every list is turned to a tuple, and the value of the tuple is the number of its occurrences.",1,meta/llama-2-70b-chat,0.0,0.0002972742352941176
Write a function to find all words which are at least 4 characters long in a string.,1,gpt-4-1106-preview,0.0,0.00937664705882353
Write a function to find nth centered hexagonal number.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function that matches a string that has an a followed by three 'b'.,1,gpt-4-1106-preview,1.0,0.00937664705882353
"Write a function that matches a string that has an 'a' followed by anything, ending in 'b'.",1,claude-v2,0.0,0.005838738823529412
Write a python function to find the sum of all odd natural numbers within the range l and r.,1,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to remove all whitespaces from a string.,1,claude-v2,1.0,0.005838738823529412
Write a python function to find the length of the longest word.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a python function to find the number of divisors of a given integer.,1,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
"Write a function to convert the given decimal number to its binary equivalent, represented as a string with no leading zeros.",1,claude-v1,1.0,0.0042774399999999995
Write a function to find the kth element in the given array using 1-based indexing.,1,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to append the given list to the given tuples.,1,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to check if a string represents an integer or not.,1,gpt-4-1106-preview,0.0,0.00937664705882353
Write a python function to remove first and last occurrence of a given character from the string.,1,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.,1,gpt-4-1106-preview,1.0,0.00937664705882353
Write a python function to find the sum of common divisors of two given numbers.,1,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to calculate whether the matrix is a magic square.,1,claude-v1,0.0,0.0042774399999999995
Write a function to find the item with maximum frequency in a given list.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to convert a tuple to a string.,1,claude-instant-v1,0.0,0.0004815265882352941
Write a function to calculate the sum of the negative numbers of a given list of numbers.,1,claude-instant-v1,1.0,0.0004815265882352941
Write a function to flatten the list of lists into a single set of numbers.,1,meta/llama-2-70b-chat,0.0,0.0002972742352941176
Write a function to calculate the area of a regular polygon given the length and number of its sides.,1,claude-instant-v1,1.0,0.0004815265882352941
Write a python function to find the smallest power of 2 greater than or equal to n.,1,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,2,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to check if all the elements in tuple have same data type or not.,2,meta/llama-2-70b-chat,1.0,0.0002972742352941176
Write a function to find minimum of three numbers.,2,gpt-4-1106-preview,1.0,0.00937664705882353
Write a python function to check whether all the bits are unset in the given range or not.,2,claude-v2,1.0,0.005838738823529412
Write a function to count the total number of characters in a string.,2,claude-v2,1.0,0.005838738823529412
Write a python function that takes in a non-negative number and returns the number of prime numbers less than the given non-negative number.,2,zero-one-ai/Yi-34B-Chat,1.0,0.00022846870588235293
Write a function that takes in two numbers and returns a tuple with the second number and then the first number.,2,claude-v2,1.0,0.005838738823529412
Write a python function takes in an integer n and returns the sum of squares of first n even natural numbers.,2,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a python function to find the largest number that can be formed with the given list of digits.,2,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to find the list of maximum length in a list of lists.,2,gpt-4-1106-preview,0.0,0.00937664705882353
Write a python function to find element at a given index after number of rotations.,2,meta/code-llama-instruct-34b-chat,0.0,0.0001562334494117647
Write a python function to find the maximum of two numbers.,2,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to find the volume of a cone.,2,claude-v2,1.0,0.005838738823529412
Write a function to find the n'th lucas number.,2,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to find the list with maximum length.,2,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to check if given tuple contains no duplicates.,2,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to perform the mathematical bitwise xor operation across the given tuples.,2,gpt-4-1106-preview,0.0,0.00937664705882353
"Write a function to find the n largest integers from a given list of numbers, returned in descending order.",2,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to extract the nth element from a given list of tuples.,2,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.,2,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a python function to find the cube sum of first n even natural numbers.,2,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to concatenate each element of tuple by the delimiter.,2,meta/code-llama-instruct-34b-chat,0.0,0.0001562334494117647
Write a function to filter odd numbers.,2,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to join a list of multiple integers into a single integer.,2,meta/code-llama-instruct-34b-chat,1.0,0.0001562334494117647
Write a function to find the first adverb and their positions in a given sentence.,2,gpt-4-1106-preview,0.0,0.00937664705882353
Write a function to flatten a list and sum all of its elements.,2,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to find the ration of positive numbers in an array of integers.,2,mistralai/mistral-7b-chat,0.0,4.8506352941176474e-05
Write a function to perform index wise multiplication of tuple elements in the given two tuples.,2,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a python function to find the sum of even factors of a number.,2,claude-v1,1.0,0.0042774399999999995
Write a function to find the area of a rectangle.,2,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to find all possible combinations of the elements of a given list.,2,gpt-4-1106-preview,0.0,0.00937664705882353
Write a python function to check whether the given array is monotonic or not.,2,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to remove lowercase substrings from a given string.,2,claude-instant-v1,1.0,0.0004815265882352941
Write a python function to find the first digit of a given number.,2,mistralai/mixtral-8x7b-chat,1.0,0.00017431835294117644
Write a python function to find the difference between the sum of cubes of the first n natural numbers and the sum of the first n natural numbers.,2,claude-instant-v1,0.0,0.0004815265882352941
Write a python function to find the length of the longest sublists.,2,meta/code-llama-instruct-34b-chat,0.0,0.0001562334494117647
Write a function to get the sum of the digits of a non-negative integer.,2,claude-instant-v1,1.0,0.0004815265882352941
Write a function to sort each sublist of strings in a given list of lists.,2,meta/code-llama-instruct-34b-chat,1.0,0.0001562334494117647
Write a python function to calculate the product of the unique numbers in a given list.,2,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to convert polar coordinates to rectangular coordinates.,2,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a python function to interchange the first and last elements in a list.,2,meta/code-llama-instruct-34b-chat,1.0,0.0001562334494117647
Write a function to find the difference of the first even and first odd number of a given list.,2,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to find kth element from the given two sorted arrays.,2,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a python function to check whether the given number is even or not.,2,zero-one-ai/Yi-34B-Chat,1.0,0.00022846870588235293
Write a function to get all lucid numbers smaller than or equal to a given integer.,2,gpt-4-1106-preview,0.0,0.00937664705882353
"Write a function to search a string for a regex pattern. The function should return the matching subtring, a start index and an end index.",2,claude-v2,0.0,0.005838738823529412
Write a function which takes two tuples of the same length and performs the element wise modulo.,2,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to find tuples which have all elements divisible by k from the given list of tuples.,2,meta/code-llama-instruct-34b-chat,1.0,0.0001562334494117647
"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",2,gpt-4-1106-preview,0.0,0.00937664705882353
Write a python function to convert a given string to uppercase.,2,WizardLM/WizardLM-13B-V1.2,1.0,8.095270588235294e-05
Write a function to replace whitespaces with an underscore and vice versa in a given string.,2,claude-v1,0.0,0.0042774399999999995
Write a function to check whether the given amount has no profit and no loss,2,zero-one-ai/Yi-34B-Chat,1.0,0.00022846870588235293
Write a function to calculate the wind chill index rounded to the next integer given the wind velocity in km/h and a temperature in celsius.,2,claude-v2,0.0,0.005838738823529412
"Write a function that checks if a strings contains 'z', except at the start and end of the word.",2,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function that takes base and power as arguments and calculate the sum of all digits of the base to the specified power.,2,gpt-4-1106-preview,1.0,0.00937664705882353
"Write a function to extract values between quotation marks "" "" of the given string.",2,claude-v1,1.0,0.0042774399999999995
"Write a function to replace all occurrences of spaces, commas, or dots with a colon.",2,gpt-4-1106-preview,0.0,0.00937664705882353
Write a python function to find sum of products of all possible sublists of a given list. https://www.geeksforgeeks.org/sum-of-products-of-all-possible-subarrays/,2,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a python function to toggle bits of the number except the first and the last bit. https://www.geeksforgeeks.org/toggle-bits-number-expect-first-last-bits/,2,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to check whether the given string is starting with a vowel or not using regex.,2,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a python function to find the character made by adding the ASCII value of all the characters of the given string modulo 26.,2,claude-instant-v1,0.0,0.0004815265882352941
Write a function to put spaces between words starting with capital letters in a given string.,2,claude-v1,0.0,0.0042774399999999995
Write a function to find minimum k records from tuple list. https://www.geeksforgeeks.org/python-find-minimum-k-records-from-tuple-list/ - in this case a verbatim copy of test cases,2,claude-v1,0.0,0.0042774399999999995
Write a function to return a list of all pairs of consecutive items in a given list.,2,gpt-4-1106-preview,1.0,0.00937664705882353
Write a python function to get the difference between two lists.,2,mistralai/mixtral-8x7b-chat,1.0,0.00017431835294117644
Write a function to find the surface area of a sphere.,2,meta/code-llama-instruct-34b-chat,1.0,0.0001562334494117647
Write a function to convert rgb color to hsv color. https://www.geeksforgeeks.org/program-change-rgb-color-model-hsv-color-model/,2,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to merge three dictionaries into a single dictionary.,2,claude-v1,1.0,0.0042774399999999995
Write a python function to count the number of equal numbers from three given integers.,2,mistralai/mixtral-8x7b-chat,0.0,0.00017431835294117644
Write a python function to count the number of rotations required to generate a sorted array. https://www.geeksforgeeks.org/count-of-rotations-required-to-generate-a-sorted-array/,2,mistralai/mixtral-8x7b-chat,1.0,0.00017431835294117644
Write a function to check whether the given number is a perfect square or not. https://www.geeksforgeeks.org/check-if-given-number-is-perfect-square-in-cpp/,2,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function that returns the list in a list of lists whose sum of elements is the highest.,2,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
"Given a list of tuples, write a function that returns the first value of the tuple with the smallest second value.",2,claude-v2,1.0,0.005838738823529412
"Write a function to find the next smallest palindrome of a specified integer, returned as an integer.",2,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
"Write a function to find the Eulerian number a(n, m).",2,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,2,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to find the common elements in given nested lists.,2,claude-instant-v1,1.0,0.0004815265882352941
